,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
80,2000,0.2975681049914233,0.5954513722126922,243649.77272727276,0.6204027770154363,0.1311483342538591,0.2162056603773585,-8.456220411663805,0.0890652658662092,117.66819811320742,0.5580119210977698,46.2590051457976,7,1
81,2001,0.2678724836187566,0.5918076452599391,240599.79510703363,0.6432772069317024,0.1019676048216105,0.191314882772681,-7.90646890927625,0.0845054026503569,118.33890214067276,0.5579819673802238,50.87359836901121,9,1
82,2002,0.296350836335767,0.5695844282238443,242690.53673965935,0.6301173294403897,0.1079543724282239,0.1997792700729924,-8.06617226277374,0.0815903163017032,119.45307201946468,0.5349131873479325,45.67542579075426,7,1
83,2003,0.2847848283544307,0.5749298259493676,244417.66772151896,0.6500365743670894,0.1033465261392407,0.2110576740506329,-7.786547468354416,0.0961136075949366,120.19126503164544,0.5318592563291136,45.767405063291136,7,1
84,2004,0.2491208763653483,0.5705564030131827,230049.09227871936,0.6722703389830512,0.1067974669020716,0.2148966101694916,-7.376558380414315,0.0964875706214689,120.6073888888888,0.5318548022598871,47.96892655367232,0,1
85,2005,0.2536427738817285,0.5569814253222146,229305.03942380592,0.6621512767247911,0.1636331290902199,0.2167480439727069,-8.298213798332053,0.0905500379075055,123.56404927975734,0.5233799848369974,42.11068991660349,0,1
86,2006,0.2813178898233991,0.5443527593818983,232433.3922001472,0.6571996247240621,0.1364570205739513,0.2071178807947022,-7.9589190581309825,0.075970272259014,123.09366519499648,0.518242752023547,42.71302428256071,7,1
87,2007,0.2189421491229381,0.5573230134932524,244448.8125937032,0.6903991829085471,0.1398184140104947,0.2127098950524736,-7.494287856071971,0.0821765367316341,125.20327661169443,0.5168212143928033,42.62668665667167,1,1
88,2008,0.2855523682153478,0.5539464604402141,228266.6276026175,0.6718591401546687,0.1250344291374182,0.2330618679357528,-7.566056513979783,0.074351754907793,120.64437775133838,0.5564787566924448,35.84830458060678,7,1
89,2009,0.2514905089109548,0.5660006406149897,245540.97053171045,0.6942454260089688,0.1479771942344649,0.2150809737347857,-7.432497757847535,0.0891912235746317,124.82945227418324,0.5380169122357464,36.973094170403584,0,1
90,2010,0.2087165340744515,0.5996195818459972,267172.67414584395,0.6573552575216735,0.1734452869658336,0.2112652728199897,-8.002705252422231,0.0801498215196327,123.32715961244212,0.5233964048954609,29.8281489036206,1,1
91,2011,0.2394998959514618,0.5769396580253717,279579.4831770546,0.657764424710424,0.210333463662438,0.1996912851627139,-8.134242140099282,0.0808616105901821,124.24133480419192,0.4709559349145066,32.86321014892444,7,1
92,2012,0.2135207493670239,0.5588412455334344,255291.65441551813,0.6870636906584997,0.1928772152782033,0.2208663603879532,-7.6508718734048,0.0854384890250128,123.38061051556916,0.4655762225625321,31.27820316488004,7,1
93,2013,0.1896315638138825,0.5938806636155596,284759.93363844394,0.6925949116323431,0.3123900455034322,0.2150431731502673,-8.238653699466052,0.0852790999237224,124.1597128146452,0.4333096872616327,24.382532418001524,7,1
94,2014,0.2267618699422733,0.586153063943162,264392.4857904085,0.6647777188277075,0.259981951376554,0.2224497779751332,-7.82685523978687,0.0976274422735346,124.62149689165186,0.4386810834813505,29.107904085257548,0,1
95,2015,0.291639953269565,0.5604550000000001,262678.8834782609,0.5912785065217381,0.2442861551130435,0.1986111304347828,-9.23079739130434,0.0825716956521738,120.87879260869578,0.4336967608695644,29.67217391304348,7,1
96,2016,0.2269436555427847,0.5815825457641538,258001.1864623244,0.6565469756492115,0.2033324728267348,0.2214166879523202,-8.002875691783755,0.0972316304810558,123.81492933163048,0.432452452107279,29.212430821626224,7,1
97,2017,0.2074132431493508,0.5804751855287571,243402.2495361781,0.686391820083488,0.2470681701252319,0.2315129870129872,-8.02631910946198,0.0967165120593692,121.829806586271,0.4363133812615951,31.662337662337663,1,1
98,2018,0.2338361350184226,0.6027309137803987,227073.1400147384,0.6595520928518803,0.2298744711680176,0.2310093588798825,-8.173433677229195,0.1210447310243182,123.64428813559311,0.4265663338246128,27.59948415622697,7,1
99,2019,0.2613443041906396,0.6031014169171321,225463.32632030916,0.6297811296693853,0.2211233271661659,0.2185006869901247,-8.527674109059689,0.1068200515242595,122.41970244740216,0.4578131902103912,32.34693001288107,7,1
100,2020,0.2023031515719603,0.6052853749417798,218977.48276665117,0.6742474103400076,0.2490080803702839,0.2344148113646949,-8.077562878435026,0.100628598043782,124.05830810433172,0.4680300954820674,24.06474149976712,0,1
101,2021,0.3402533782663046,0.6524883695652172,222760.0282608696,0.5788958315217388,0.3567654720489132,0.1623094021739136,-9.54775217391302,0.1085589130434787,120.52587500000004,0.4519082065217379,7.750543478260869,7,1
